,key,values
185,"['CH4_CO2-ekv.', '0.4', '2015']",['5508.3']
186,"['CH4_CO2-ekv.', '0.4', '2016']",['5423.7']
187,"['CH4_CO2-ekv.', '0.4', '2017']",['5384.1']
188,"['CH4_CO2-ekv.', '0.4', '2018']",['5369.6']
189,"['CH4_CO2-ekv.', '0.4', '2019']",['5163.2']
190,"['CH4_CO2-ekv.', '0.4', '2020']",['5065.5']
191,"['CH4_CO2-ekv.', '0.4', '2021']",['5005.1']
192,"['N2O', '0.4', '1990']",['23356.5']
193,"['N2O', '0.4', '1991']",['22869.8']
194,"['N2O', '0.4', '1992']",['22319.4']
195,"['N2O', '0.4', '1993']",['23025.2']
196,"['N2O', '0.4', '1994']",['23117.4']
197,"['N2O', '0.4', '1995']",['22644.3']
198,"['N2O', '0.4', '1996']",['22710.3']
199,"['N2O', '0.4', '1997']",['22846.4']
200,"['N2O', '0.4', '1998']",['23081.5']
201,"['N2O', '0.4', '1999']",['22066.9']
202,"['N2O', '0.4', '2000']",['21841.9']
203,"['N2O', '0.4', '2001']",['21362.4']
204,"['N2O', '0.4', '2002']",['21073.4']
205,"['N2O', '0.4', '2003']",['20910.7']
206,"['N2O', '0.4', '2004']",['20987.1']
207,"['N2O', '0.4', '2005']",['20610.0']
208,"['N2O', '0.4', '2006']",['20389.0']
209,"['N2O', '0.4', '2007']",['19782.3']
210,"['N2O', '0.4', '2008']",['20195.9']
211,"['N2O', '0.4', '2009']",['19535.9']
212,"['N2O', '0.4', '2010']",['20077.8']
213,"['N2O', '0.4', '2011']",['18776.0']
214,"['N2O', '0.4', '2012']",['18347.4']
215,"['N2O', '0.4', '2013']",['18395.5']
216,"['N2O', '0.4', '2014']",['18824.0']
217,"['N2O', '0.4', '2015']",['19038.3']
218,"['N2O', '0.4', '2016']",['19035.5']
219,"['N2O', '0.4', '2017']",['19677.6']
220,"['N2O', '0.4', '2018']",['18999.3']
221,"['N2O', '0.4', '2019']",['19432.8']
222,"['N2O', '0.4', '2020']",['19534.4']
223,"['N2O', '0.4', '2021']",['19186.2']
224,"['HFC', '0.4', '1990']",['5.9']
225,"['HFC', '0.4', '1991']",['10.2']
226,"['HFC', '0.4', '1992']",['11.7']
227,"['HFC', '0.4', '1993']",['28.3']
228,"['HFC', '0.4', '1994']",['69.2']
229,"['HFC', '0.4', '1995']",['128.7']
230,"['HFC', '0.4', '1996']",['215.6']
231,"['HFC', '0.4', '1997']",['353.0']
232,"['HFC', '0.4', '1998']",['457.8']
233,"['HFC', '0.4', '1999']",['602.5']
234,"['HFC', '0.4', '2000']",['725.4']
235,"['HFC', '0.4', '2001']",['803.8']
236,"['HFC', '0.4', '2002']",['880.8']
237,"['HFC', '0.4', '2003']",['947.3']
238,"['HFC', '0.4', '2004']",['1022.3']
239,"['HFC', '0.4', '2005']",['1044.9']
240,"['HFC', '0.4', '2006']",['1067.7']
241,"['HFC', '0.4', '2007']",['1072.5']
242,"['HFC', '0.4', '2008']",['1087.4']
243,"['HFC', '0.4', '2009']",['1084.0']
244,"['HFC', '0.4', '2010']",['1063.7']
245,"['HFC', '0.4', '2011']",['1038.9']
246,"['HFC', '0.4', '2012']",['1022.8']
247,"['HFC', '0.4', '2013']",['1013.8']
248,"['HFC', '0.4', '2014']",['1039.0']
249,"['HFC', '0.4', '2015']",['1058.5']
250,"['HFC', '0.4', '2016']",['1076.9']
251,"['HFC', '0.4', '2017']",['1042.2']
252,"['HFC', '0.4', '2018']",['987.4']
253,"['HFC', '0.4', '2019']",['937.8']
254,"['HFC', '0.4', '2020']",['888.6']
255,"['HFC', '0.4', '2021']",['840.8']
256,"['PFC', '0.4', '1990']",['510.9']
257,"['PFC', '0.4', '1991']",['515.5']
258,"['PFC', '0.4', '1992']",['349.8']
259,"['PFC', '0.4', '1993']",['407.1']
260,"['PFC', '0.4', '1994']",['435.7']
261,"['PFC', '0.4', '1995']",['478.3']
262,"['PFC', '0.4', '1996']",['422.2']
263,"['PFC', '0.4', '1997']",['390.1']
264,"['PFC', '0.4', '1998']",['378.5']
265,"['PFC', '0.4', '1999']",['408.5']
266,"['PFC', '0.4', '2000']",['338.2']
267,"['PFC', '0.4', '2001']",['331.9']
268,"['PFC', '0.4', '2002']",['366.8']
269,"['PFC', '0.4', '2003']",['364.4']
270,"['PFC', '0.4', '2004']",['360.9']
271,"['PFC', '0.4', '2005']",['365.5']
272,"['PFC', '0.4', '2006']",['353.3']
273,"['PFC', '0.4', '2007']",['361.0']
274,"['PFC', '0.4', '2008']",['316.2']
275,"['PFC', '0.4', '2009']",['44.8']
276,"['PFC', '0.4', '2010']",['169.2']
277,"['PFC', '0.4', '2011']",['193.7']
278,"['PFC', '0.4', '2012']",['70.9']
279,"['PFC', '0.4', '2013']",['46.2']
280,"['PFC', '0.4', '2014']",['73.9']
281,"['PFC', '0.4', '2015']",['31.7']
282,"['PFC', '0.4', '2016']",['28.1']
283,"['PFC', '0.4', '2017']",['32.9']
284,"['PFC', '0.4', '2018']",['55.7']
285,"['PFC', '0.4', '2019']",['44.4']
286,"['PFC', '0.4', '2020']",['58.7']
287,"['PFC', '0.4', '2021']",['41.7']
288,"['SF6', '0.4', '1990']",['4461.8']
289,"['SF6', '0.4', '1991']",['4504.0']
290,"['SF6', '0.4', '1992']",['4498.9']
291,"['SF6', '0.4', '1993']",['4357.3']
292,"['SF6', '0.4', '1994']",['4665.5']
293,"['SF6', '0.4', '1995']",['5929.2']
294,"['SF6', '0.4', '1996']",['5126.1']
295,"['SF6', '0.4', '1997']",['6999.8']
296,"['SF6', '0.4', '1998']",['4878.0']
297,"['SF6', '0.4', '1999']",['5316.4']
298,"['SF6', '0.4', '2000']",['5209.5']
299,"['SF6', '0.4', '2001']",['5384.9']
300,"['SF6', '0.4', '2002']",['5245.6']
301,"['SF6', '0.4', '2003']",['3733.7']
302,"['SF6', '0.4', '2004']",['4153.0']
303,"['SF6', '0.4', '2005']",['6648.7']
304,"['SF6', '0.4', '2006']",['4940.2']
305,"['SF6', '0.4', '2007']",['6025.4']
306,"['SF6', '0.4', '2008']",['3195.3']
307,"['SF6', '0.4', '2009']",['3070.7']
308,"['SF6', '0.4', '2010']",['2783.2']
309,"['SF6', '0.4', '2011']",['2431.6']
310,"['SF6', '0.4', '2012']",['2330.3']
311,"['SF6', '0.4', '2013']",['1844.7']
312,"['SF6', '0.4', '2014']",['2012.2']
313,"['SF6', '0.4', '2015']",['2330.5']
314,"['SF6', '0.4', '2016']",['2520.3']
315,"['SF6', '0.4', '2017']",['2009.2']
316,"['SF6', '0.4', '2018']",['1446.6']
317,"['SF6', '0.4', '2019']",['1502.8']
318,"['SF6', '0.4', '2020']",['1626.1']
319,"['SF6', '0.4', '2021']",['1685.6']
320,"['SF6_CO2-ekv.', '0.4', '1990']",['104.9']
321,"['SF6_CO2-ekv.', '0.4', '1991']",['105.8']
322,"['SF6_CO2-ekv.', '0.4', '1992']",['105.7']
323,"['SF6_CO2-ekv.', '0.4', '1993']",['102.4']
324,"['SF6_CO2-ekv.', '0.4', '1994']",['109.6']
325,"['SF6_CO2-ekv.', '0.4', '1995']",['139.3']
326,"['SF6_CO2-ekv.', '0.4', '1996']",['120.5']
327,"['SF6_CO2-ekv.', '0.4', '1997']",['164.5']
328,"['SF6_CO2-ekv.', '0.4', '1998']",['114.6']
329,"['SF6_CO2-ekv.', '0.4', '1999']",['124.9']
330,"['SF6_CO2-ekv.', '0.4', '2000']",['122.4']
331,"['SF6_CO2-ekv.', '0.4', '2001']",['126.5']
332,"['SF6_CO2-ekv.', '0.4', '2002']",['123.3']
333,"['SF6_CO2-ekv.', '0.4', '2003']",['87.7']
334,"['SF6_CO2-ekv.', '0.4', '2004']",['97.6']
335,"['SF6_CO2-ekv.', '0.4', '2005']",['156.2']
336,"['SF6_CO2-ekv.', '0.4', '2006']",['116.1']
337,"['SF6_CO2-ekv.', '0.4', '2007']",['141.6']
338,"['SF6_CO2-ekv.', '0.4', '2008']",['75.1']
